score_column,training_signal_class,training_data,contains_clinical_labels,documented_mave_or_sge_in_training,overlap_with_the_functional_readout,training_source,row_origin,terms_of_use,terms_bar_clinical_decision_making,terms_bar_training_other_models
spliceai,Splicing (annotated junctions),GENCODE-annotated splice junctions on pre-mRNA sequence; no variant labels,No,None documented,"Indirect: predicts a splice event, not gene function; the assay reads function, so agreement requires the event to change function",https://doi.org/10.1016/j.cell.2018.12.015,companion atlas predictor_resources.TRAINING['SpliceAI'],Trained models CC BY-NC 4.0 (Illumina); commercial use needs a licence,No,No
spliceai_walker,Splicing (annotated junctions),GENCODE-annotated splice junctions on pre-mRNA sequence; no variant labels,No,None documented,"Indirect: predicts a splice event, not gene function; the assay reads function, so agreement requires the event to change function",https://doi.org/10.1016/j.cell.2018.12.015,companion atlas predictor_resources.TRAINING['SpliceAI'],Trained models CC BY-NC 4.0 (Illumina); commercial use needs a licence,No,No
pangolin,Splicing (measured site usage),Splice-site usage quantified from RNA-seq across four species and multiple tissues; no variant labels,No,None documented,"Indirect: predicts a splice event, not gene function; the assay reads function, so agreement requires the event to change function",https://doi.org/10.1186/s13059-022-02664-4,companion atlas predictor_resources.TRAINING['Pangolin'],Software GPL-3.0; its output is not encumbered by that licence,No,No
alphagenome,"Functional genomics tracks, including splicing","Multi-task supervision on functional genomics tracks (expression, splicing, chromatin) from ENCODE/GTEx-class data; no variant labels",No,None documented,"Indirect: predicts molecular effects including splicing, not gene function; no multiplexed assay measurement documented in training",https://deepmind.google.com/science/alphagenome,companion atlas predictor_resources.TRAINING['AlphaGenome'],"AlphaGenome Terms of Service: non-commercial, research only; outputs not for clinical decision-making and not to train other models",Yes,Yes
avi,"Supervised on population allele frequency, with AlphaGenome, AlphaMissense and conservation inputs","Neural network over precomputed AlphaGenome predictions (ten modality groups, including splicing, each the per-variant maximum across tissues), AlphaMissense, three protein-termination features and two conservation scores (PhastCons 470-way, Cactus 241-way), trained to separate gnomAD v4.1 variants above and below a filtering allele frequency of 0.1%",No,"Yes: its checkpoint selection and early stopping used a validation set of complex-trait variants and four genome editing assays, the BRCA1 (Findlay 2018), RAD51C (Olvera-León 2024) and DDX3X (Radford 2023) saturation genome editing assays and an ATM prime-editing screen (Lee 2025); BRCA2, BARD1, PALB2, VHL and BAP1 were among its test sets","Direct for BRCA1 and RAD51C here and for the external gene DDX3X, whose assays selected its checkpoint; shared cause otherwise, since allele frequency and constraint are both shaped by selection","AlphaGenome Atlas team, AlphaGenome Atlas: in silico mutagenesis of the entire human genome improves prioritization and interpretation of non-coding variants (Google DeepMind, 2026), Methods; https://alphagenome.google/atlas",this module,"AlphaGenome Terms of Service: non-commercial, research only; outputs not for clinical decision-making and not to train other models",Yes,Yes
avi_splice_sites,"Functional genomics tracks, including splicing","Multi-task supervision on functional genomics tracks (expression, splicing, chromatin) from ENCODE/GTEx-class data; no variant labels. Precomputed SPLICE_SITES scorer, retrieved by lookup",No,None documented,"Indirect: predicts molecular effects including splicing, not gene function; no multiplexed assay measurement documented in training",https://www.alphagenomedocs.com/,this module,"AlphaGenome Terms of Service: non-commercial, research only; outputs not for clinical decision-making and not to train other models",Yes,Yes
avi_splice_site_usage,"Functional genomics tracks, including splicing","Multi-task supervision on functional genomics tracks (expression, splicing, chromatin) from ENCODE/GTEx-class data; no variant labels. Precomputed SPLICE_SITE_USAGE scorer, retrieved by lookup",No,None documented,"Indirect: predicts molecular effects including splicing, not gene function; no multiplexed assay measurement documented in training",https://www.alphagenomedocs.com/,this module,"AlphaGenome Terms of Service: non-commercial, research only; outputs not for clinical decision-making and not to train other models",Yes,Yes
avi_splice_junctions,"Functional genomics tracks, including splicing","Multi-task supervision on functional genomics tracks (expression, splicing, chromatin) from ENCODE/GTEx-class data; no variant labels. Precomputed SPLICE_JUNCTIONS scorer, retrieved by lookup",No,None documented,"Indirect: predicts molecular effects including splicing, not gene function; no multiplexed assay measurement documented in training",https://www.alphagenomedocs.com/,this module,"AlphaGenome Terms of Service: non-commercial, research only; outputs not for clinical decision-making and not to train other models",Yes,Yes
cadd,"Proxy contrast of simulated against fixed derived variants, over annotations that include SpliceAI and MMSplice predictions","Simulated de novo variants versus fixed derived human alleles, a proxy contrast with no disease labels",No,None documented,"Shared cause: the proxy contrast is itself shaped by selection, which also shapes which variants damage function; and a shared input, since SpliceAI scores are among its annotations",https://cadd.gs.washington.edu/info,companion atlas predictor_resources.TRAINING['CADD'],Non-commercial; commercial licence from the University of Washington,No,No
phylop,Cross-species sequence constraint,Not trained. Per-base substitution rate under a neutral model fitted to a 100-species alignment,No,None documented,Shared cause: constraint and functional damage are both consequences of selection; holding genes out does not remove it,https://genome.ucsc.edu/cgi-bin/hgTrackUi?db=hg38&g=cons100way,companion atlas predictor_resources.TRAINING['phyloP-100way'],"UCSC track data, free for commercial use",No,No
