Tool,Score column,Role,What the column is,"Version, resource and scoring configuration",Source,Accessed,Licence,Licence source,Licence audit,Spearman rho with functional pathogenicity,Variants scored,Analysis-set variants,Training signal,Training data,Clinical classifications in training,Multiplexed-assay measurements in training,Training documentation
SpliceAI (distance 50),spliceai,Elastic-net input,"Largest of SpliceAI's four delta scores (acceptor and donor, gain and loss) at the companion atlas's scoring window, fifty nucleotides",1.3.1; full-precision re-score of delta scores; distance 50; unmasked,github.com/Illumina/SpliceAI (run locally),2026-07-30,"CC BY-NC 4.0 (trained models); academic and non-commercial use, other use requires a commercial licence from Illumina. Code: PolyForm Strict 1.0.0",https://github.com/Illumina/SpliceAI ; corroborated at https://gnomad.broadinstitute.org/terms,"Companion atlas licence audit, to which LICENSE-DATA section 1 defers",0.376,8853,8853,Splicing (annotated junctions),GENCODE-annotated splice junctions on pre-mRNA sequence; no variant labels,No,None documented,https://doi.org/10.1016/j.cell.2018.12.015
Pangolin,pangolin,Elastic-net input,"Pangolin's largest predicted change in splice-site usage, gain or loss",git commit 5cf94b8; Ensembl r112 GTF; full-precision re-score; distance 50,github.com/tkzeng/Pangolin (run locally),2026-07-31; full-precision 2026-08-04,"GPL-3.0 on the program. Scores were produced by running it; running a GPL program does not place its output under the GPL, so the column is unencumbered",https://github.com/tkzeng/Pangolin,"Companion atlas licence audit, to which LICENSE-DATA section 1 defers",0.381,8853,8853,Splicing (measured site usage),Splice-site usage quantified from RNA-seq across four species and multiple tissues; no variant labels,No,None documented,https://doi.org/10.1186/s13059-022-02664-4
AlphaGenome splice score,alphagenome,Evaluated alone; left out of the elastic-net combination under the AlphaGenome terms of service,"AlphaGenome splice score, merged-quantile definition, computed by the model at query time","API client 0.7.0; merged-quantile splice score, 16-kb window",Google DeepMind AlphaGenome API (non-commercial tier),2026-07-28; definition sweep 2026-08-04,AlphaGenome terms of service: non-commercial research only; outputs not for clinical decision-making and not to train other models,https://deepmind.google.com/science/alphagenome,LICENSE-DATA section 2 (this repository),0.390,8853,8853,"Functional genomics tracks, including splicing","Multi-task supervision on functional genomics tracks (expression, splicing, chromatin) from ENCODE/GTEx-class data; no variant labels",No,None documented,https://deepmind.google.com/science/alphagenome
CADD,cadd,Elastic-net input,"CADD deleteriousness score, PHRED-scaled",GRCh38-v1.7 whole-genome SNV file; score = PHRED,"remote tabix slices, official CADD US/DE mirrors",2026-07-28,Non-commercial use only; commercial use requires a licence from the University of Washington,https://cadd.gs.washington.edu/download,"Companion atlas licence audit, to which LICENSE-DATA section 1 defers",0.329,8853,8853,"Proxy contrast of simulated against fixed derived variants, over annotations that include SpliceAI and MMSplice predictions","Simulated de novo variants versus fixed derived human alleles, a proxy contrast with no disease labels",No,None documented,https://cadd.gs.washington.edu/info
phyloP,phylop,Elastic-net input,Cross-species conservation at the variant base (phyloP),hg38 phyloP100way track,UCSC Genome Browser track API,2026-07-28,Free for public and commercial use (UCSC track data),https://genome.ucsc.edu/license/,"Companion atlas licence audit, to which LICENSE-DATA section 1 defers",0.299,8853,8853,Cross-species sequence constraint,Not trained. Per-base substitution rate under a neutral model fitted to a 100-species alignment,No,None documented,https://genome.ucsc.edu/cgi-bin/hgTrackUi?db=hg38&g=cons100way
phastCons,phastcons,Elastic-net input,Conserved-element posterior probability at the variant base (phastCons),hg38 phastCons100way track,UCSC Genome Browser track API,2026-07-28,Free for public and commercial use (UCSC track data),https://genome.ucsc.edu/license/,"Companion atlas licence audit, to which LICENSE-DATA section 1 defers",0.313,8853,8853,Cross-species sequence constraint,Not trained. Phylo-HMM conserved-element posterior on the same alignment,No,None documented,https://genome.ucsc.edu/cgi-bin/hgTrackUi?db=hg38&g=cons100way
GPN-MSA,gpn_msa,Elastic-net input,"GPN-MSA alignment-conditioned language-model score, sign-flipped so that larger is more damaging","songlab/gpn-msa-hg38-scores (precomputed, sign-flipped)",HuggingFace datasets,2026-07-28,MIT,https://huggingface.co/datasets/songlab/gpn-msa-hg38-scores,"Companion atlas licence audit, to which LICENSE-DATA section 1 defers",0.321,8853,8853,Cross-species sequence constraint (self-supervised),Self-supervised masked language modelling over a whole-genome vertebrate alignment; no labels of any kind,No,None documented,https://huggingface.co/songlab/gpn-msa-hg38-scores
Nucleotide Transformer,nt,Elastic-net input,Nucleotide Transformer masked-token log-likelihood ratio,"InstaDeepAI/nucleotide-transformer-v2-500m-multi-species; transformers 4.46.3, torch 2.11.0+cu128",HuggingFace (scored on rented NVIDIA A6000),2026-08-01,CC BY-NC-SA 4.0 (non-commercial and share-alike),https://huggingface.co/InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,"Companion atlas licence audit, to which LICENSE-DATA section 1 defers",0.179,8853,8853,Genomic sequence (self-supervised),Self-supervised masked language modelling over multi-species genomes; never trained on variant effects,No,None documented,https://huggingface.co/InstaDeepAI/nucleotide-transformer-v2-500m-multi-species
SpliceAI (published basis),spliceai_walker,Evaluated alone,The same SpliceAI statistic re-scored at the window the published cut points were calibrated on; the column those cut points are applied to,"1.3.1; max over ds_ag, ds_al, ds_dg, ds_dl; full float precision; distance 4999; unmasked; annotation grch38; basis Walker et al. 2023 Methods",github.com/Illumina/SpliceAI (run locally),2026-09-17,"CC BY-NC 4.0 (trained models); academic and non-commercial use, other use requires a commercial licence from Illumina. Code: PolyForm Strict 1.0.0",https://github.com/Illumina/SpliceAI ; corroborated at https://gnomad.broadinstitute.org/terms,"Companion atlas licence audit, to which LICENSE-DATA section 1 defers",0.383,8853,8853,Splicing (annotated junctions),GENCODE-annotated splice junctions on pre-mRNA sequence; no variant labels,No,None documented,https://doi.org/10.1016/j.cell.2018.12.015
Atlas combined score,avi,Evaluated alone,"The Atlas's single combined coding/non-coding variant-impact score; one value per variant, taken as returned",AlphaGenome API client 0.9.0; Atlas released 2026-09-08; scorer AVI_SCORE; precomputed values retrieved by lookup,"AlphaGenome Atlas, AlphaGenome Variant Impact (AVI)",2026-09-20,AlphaGenome terms of service: non-commercial research only; outputs not for clinical decision-making and not to train other models,https://deepmind.google.com/science/alphagenome/terms,LICENSE-DATA section 2 (this repository),0.393,8853,8853,"Supervised on population allele frequency, with AlphaGenome, AlphaMissense and conservation inputs","Neural network over precomputed AlphaGenome predictions (ten modality groups, including splicing, each the per-variant maximum across tissues), AlphaMissense, three protein-termination features and two conservation scores (PhastCons 470-way, Cactus 241-way), trained to separate gnomAD v4.1 variants above and below a filtering allele frequency of 0.1%",No,"Yes: its checkpoint selection and early stopping used a validation set of complex-trait variants and four genome editing assays, the BRCA1 (Findlay 2018), RAD51C (Olvera-León 2024) and DDX3X (Radford 2023) saturation genome editing assays and an ATM prime-editing screen (Lee 2025); BRCA2, BARD1, PALB2, VHL and BAP1 were among its test sets","AlphaGenome Atlas team, AlphaGenome Atlas: in silico mutagenesis of the entire human genome improves prioritization and interpretation of non-coding variants (Google DeepMind, 2026), Methods; https://alphagenome.google/atlas"
Atlas splice sites,avi_splice_sites,Evaluated alone,Atlas SPLICE_SITES scorer; maximum over the scorer's tracks,AlphaGenome API client 0.9.0; Atlas released 2026-09-08; scorer SPLICE_SITES; precomputed values retrieved by lookup,"AlphaGenome Atlas, AlphaGenome Variant Impact (AVI)",2026-09-20,AlphaGenome terms of service: non-commercial research only; outputs not for clinical decision-making and not to train other models,https://deepmind.google.com/science/alphagenome/terms,LICENSE-DATA section 2 (this repository),0.405,8853,8853,"Functional genomics tracks, including splicing","Multi-task supervision on functional genomics tracks (expression, splicing, chromatin) from ENCODE/GTEx-class data; no variant labels. Precomputed SPLICE_SITES scorer, retrieved by lookup",No,None documented,https://www.alphagenomedocs.com/
Atlas splice-site usage,avi_splice_site_usage,Evaluated alone,Atlas SPLICE_SITE_USAGE scorer; maximum over the scorer's 367 tracks,AlphaGenome API client 0.9.0; Atlas released 2026-09-08; scorer SPLICE_SITE_USAGE; precomputed values retrieved by lookup,"AlphaGenome Atlas, AlphaGenome Variant Impact (AVI)",2026-09-20,AlphaGenome terms of service: non-commercial research only; outputs not for clinical decision-making and not to train other models,https://deepmind.google.com/science/alphagenome/terms,LICENSE-DATA section 2 (this repository),0.375,8853,8853,"Functional genomics tracks, including splicing","Multi-task supervision on functional genomics tracks (expression, splicing, chromatin) from ENCODE/GTEx-class data; no variant labels. Precomputed SPLICE_SITE_USAGE scorer, retrieved by lookup",No,None documented,https://www.alphagenomedocs.com/
Atlas splice junctions,avi_splice_junctions,Evaluated alone,Atlas SPLICE_JUNCTIONS scorer; maximum over tracks and over rows: this scorer returns one row per junction,AlphaGenome API client 0.9.0; Atlas released 2026-09-08; scorer SPLICE_JUNCTIONS; precomputed values retrieved by lookup,"AlphaGenome Atlas, AlphaGenome Variant Impact (AVI)",2026-09-20,AlphaGenome terms of service: non-commercial research only; outputs not for clinical decision-making and not to train other models,https://deepmind.google.com/science/alphagenome/terms,LICENSE-DATA section 2 (this repository),0.379,8853,8853,"Functional genomics tracks, including splicing","Multi-task supervision on functional genomics tracks (expression, splicing, chromatin) from ENCODE/GTEx-class data; no variant labels. Precomputed SPLICE_JUNCTIONS scorer, retrieved by lookup",No,None documented,https://www.alphagenomedocs.com/
