"Stratum (intronic offset, bp)",In scope of the recommendation,ClinVar record status,Gene,Damaging,Normal,Fraction of labelled scoring ≥ 0.2,Sensitivity,Specificity,PP3 band (≥ 0.2) LR (95% CI),PP3 tier,BP4 band (≤ 0.1) LR (95% CI),BP4 tier,CI basis,Note
"±1,2 (out of scope)",No,All variants,All genes (pooled),804,37,0.999,1.000,0.027,1.03 (1.00–1.08),Below Supporting,not evaluable,not evaluable,"Gene-clustered bootstrap over 7 genes; draws evaluable: PP3 LR 1935 of 2000, BP4 LR 0 of 2000","Out of scope: the recommendation excludes ±1,2 variants, which go through the PVS1 decision tree; BP4 band holds 1 variant, fewer than 10"
"±1,2 (out of scope)",No,Classified (P/LP or B/LB),All genes (pooled),469,11,1.000,1.000,0.000,1.00 (1.00–1.00),Below Supporting,not evaluable,not evaluable,"Gene-clustered bootstrap over 7 genes; draws evaluable: PP3 LR 1179 of 2000, BP4 LR 0 of 2000","Out of scope: the recommendation excludes ±1,2 variants, which go through the PVS1 decision tree; BP4 band holds 0 variants, fewer than 10"
"±1,2 (out of scope)",No,"Recorded, not classified",All genes (pooled),86,9,,,,,not evaluable,,not evaluable,,"Out of scope: the recommendation excludes ±1,2 variants, which go through the PVS1 decision tree; Not evaluable: fewer than 10 labelled variants on one side"
"±1,2 (out of scope)",No,Not in ClinVar,All genes (pooled),249,17,1.000,1.000,0.000,1.00 (1.00–1.00),Below Supporting,not evaluable,not evaluable,"Gene-clustered bootstrap over 6 genes; draws evaluable: PP3 LR 1581 of 2000, BP4 LR 0 of 2000","Out of scope: the recommendation excludes ±1,2 variants, which go through the PVS1 decision tree; BP4 band holds 0 variants, fewer than 10"
3–10,Yes,All variants,All genes (pooled),570,2505,0.273,0.795,0.846,5.14 (4.55–6.06),Moderate,0.172 (0.0919–0.240),Moderate,"Gene-clustered bootstrap over 7 genes; draws evaluable: PP3 LR 2000 of 2000, BP4 LR 2000 of 2000",
3–10,Yes,Classified (P/LP or B/LB),All genes (pooled),95,578,0.152,0.758,0.948,14.6 (8.60–19.6),Moderate,0.216 (0.0842–0.464),Moderate,"Gene-clustered bootstrap over 7 genes; draws evaluable: PP3 LR 2000 of 2000, BP4 LR 2000 of 2000",
3–10,Yes,"Recorded, not classified",All genes (pooled),201,596,0.378,0.871,0.789,4.12 (2.70–5.36),Supporting,0.138 (0.0747–0.227),Moderate,"Gene-clustered bootstrap over 7 genes; draws evaluable: PP3 LR 2000 of 2000, BP4 LR 2000 of 2000",
3–10,Yes,Not in ClinVar,All genes (pooled),274,1331,0.272,0.752,0.826,4.33 (4.04–4.83),Moderate,0.184 (0.0613–0.292),Moderate,"Gene-clustered bootstrap over 6 genes; draws evaluable: PP3 LR 2000 of 2000, BP4 LR 2000 of 2000",
3–10,Yes,All variants,BAP1,146,591,0.204,0.575,0.888,5.15,Moderate,0.274,Supporting,Per-gene point estimate; no interval,
3–10,Yes,All variants,BARD1,66,393,0.307,0.909,0.794,4.41,Moderate,0.134,Moderate,Per-gene point estimate; no interval,
3–10,Yes,All variants,BRCA1,104,386,0.298,0.933,0.873,7.35,Moderate,0.0690,Moderate,Per-gene point estimate; no interval,
3–10,Yes,All variants,BRCA2,69,460,0.219,0.739,0.859,5.23,Moderate,0.299,Supporting,Per-gene point estimate; no interval,
3–10,Yes,All variants,PALB2,87,324,0.324,0.851,0.818,4.67,Moderate,0.135,Moderate,Per-gene point estimate; no interval,
3–10,Yes,All variants,RAD51C,88,291,0.359,0.875,0.797,4.32,Supporting,0.0866,Moderate,Per-gene point estimate; no interval,
3–10,Yes,All variants,VHL,10,60,0.257,1.000,0.867,7.50,Moderate,0,Supporting,Per-gene point estimate; no interval,No damaging variant in the BP4 band; the tier is read off the rule-of-three upper bound 0.400
